Code,Description,FirearmType
2388,.17 HORN MACH 2,00
2131,.17 HORN MAG RIM (HMR),00
2132,.17 HORN MAG RIM (HMR),00
2909,.17 HORNET,00
2910,.17 HORNET,00
2911,.17 HORNET,00
1724,.17 REM,00
2942,.17 VHA (VAR HUN ASS),00
2820,.204 JB,00
2342,.204 RUGER,00
2821,.218 BEE,00
2824,.218 ICL BOBCAT,00
2822,.218 IMPROVED BEE,00
2823,.218 MASHBURN BEE,00
2827,.219 DONALDSON WASP,00
2828,.219 ICL WOLVERINE,00
2829,.219 STINGRY,00
2826,.219 ZIP IMP (ACKLEY),00
2825,.219 ZIPPER,00
3559,.22 BB CAP,00
3558,.22 BB CAP,00
2577,.22 BR REM,00
3452,.22 CB CAP,00
3604,.22 CHEETAH,00
3457,.22 CREEDMOOR,00
3146,.22 DASHER,00
1519,.22 EXTRA LONG,00
1520,.22 EXTRA LONG,00
3521,.22 GT,00
597,.22 HORNET,00
1929,.22 HORNET,00
259,.22 HORNET,00
3178,.22 HORNET,00
810,.22 HORNET / .30-06 SPRING,00
815,.22 HORNET / .410BR,00
1834,.22 HORNET / 12GA,00
814,.22 HORNET / 16GA,00
1667,.22 HORNET / 20GA,00
3649,.22 HORNET / 28GA,00
1521,.22 ILARCO (.22 SMR),00
2788,.22 K-HORNET,00
3292,.22 LONG,00
1526,.22 LONG  RIFLE,00
501,.22 LONG / LR (PISTOL),00
1962,.22 LONG RIFLE (LR),00
3724,.22 LONG/LR(PIST)(RIF/CARB)COM,00
301,.22 LR / .410BR,00
3441,.22 LR / .44 SHOTSHELL,00
3313,.22 LR /8X60MM S/16GA,00
497,.22 LR/.22 MAG (WMR),00
3676,.22 LR/7X57MM MAUS(7MM MAUS),00
836,.22 M1 CAR(.30 CARB)ADAP,00
826,.22 MAG / 12GA,00
703,.22 MAG / 20GA,00
811,.22 MAG / 410BR,00
721,.22 MAG/7X57MM MAUS/16GA,00
1806,.22 MAG/7X65R BRENN/16GA,00
3552,.22 MAGNUM,00
3709,.22 MAGNUM,00
3384,.22 NOSLER,00
3388,.22 NOSLER,00
1859,.22 PPC,00
1527,.22 REM AUTOMATIC,00
3704,.22 RIM FIRE,00
2283,.22 S/L/LR (BLANK),00
2112,.22 S/L/LR (BLANK),00
2470,.22 S/L/LR (BLANK),00
553,.22 S/L/LR /.410 BORE,00
261,.22 SAVAGE HP(5.6X52R),00
263,.22 SHORT,00
485,.22 SHORT,00
592,.22 SHORT,00
401,.22 SHORT/LONG/LR,00
262,.22 SHORT/LONG/LR,00
2409,.22 SHORT/LONG/LR,00
1807,.22 SHOTGUN,00
3154,.22 WIN AUTOMATIC,00
1528,.22 WIN AUTOMATIC,00
3312,.22 WIN CENTERFIRE(WCF),00
593,.22 WIN MAG RIM,00
106,.22 WIN MAG RIM,00
498,.22 WIN MAG RIM,00
3432,.22 WIN MAG RIM,00
3393,.22 WIN MAG RIM / .410 BR,00
1533,.22 WIN RIMFIRE (WRF),00
2153,.22 WMR / 12GA,00
3372,.22 WMR/7X65R BRENN/20GA,00
3520,.22 XC,00
3107,.22-243 MIDDLESTEAD,00
2485,.22-250 ACKLEY IMP,00
2227,.22-250 REM,00
2794,.22/.38 DARDICK TROUND,00
260,.220 SWIFT,00
5,.221 REM FIREBALL,00
502,.221 REM FIREBALL,00
2606,.222 EICHHORN LYNX,00
2604,.222 REM,00
1933,.222 REM,00
807,.222 REM / .30-06 SPRING,00
325,.222 REM / .410BR,00
3058,.222 REM / 12GA,00
2610,.222 REM / 16GA,00
602,.222 REM / 20GA,00
2607,.222 REM IMP,00
264,.222 REM MAG,00
2605,.222 REM MAG,00
364,.222 REM MAG / 16GA,00
2608,.222 REM MAG IMP,00
2609,.222 REM RIMMED,00
2970,.223 ACKLEY IMPROVED,00
2789,.223 ACKLEY IMPROVED,00
3068,.223 REM,00
2310,.223 REM,00
2790,.223 REM,00
1784,.223 REM,00
2325,.223 REM (BLANK),00
2071,.223 REM (BLANK),00
3179,.223 REM / 12GA,00
3383,.223 REM / 16GA,00
822,.223 REM / 20GA,00
2438,.223 WSSM,00
3677,.223 WYLDE,00
3550,.223 WYLDE,00
3627,.224 AFRICAN,00
2796,.224 GNR,00
3138,.224 VALKYRIE,00
3309,.224 VALKYRIE,00
8,.224 WBY MAG,00
9,.225 WIN,00
2831,.228 ACKLEY MAG,00
2832,.228 R&M HAWK,00
2830,.228 WBY MAG,00
353,.22LR / 12GA,00
797,.22LR / 14GA,00
302,.22LR / 16GA,00
314,.22LR / 20GA,00
3493,.22LR / 24GA,00
1969,.22LR / 28GA,00
755,.22LR / 9MM SHOT,00
11,.230 ACKLEY,00
903,.230 POCKET REVOLVER,00
2833,.236 NAVY,00
2834,.236 REM,00
2835,.236 USN RIMMED,00
2251,.240 APEX,00
2209,.240 WBY MAG,00
2837,.242 BELT RIM H&H,00
2836,.242 RIMLESS NITRO EXP,00
2403,.243 ACKLEY IMP,00
1785,.243 WIN,00
3479,.243 WIN,00
2088,.243 WSSM,00
675,.243WIN / 12GA,00
823,.243WIN / 16GA,00
1830,.243WIN / 20GA,00
2846,.244 DURHAM MAG,00
2842,.244 H&H BELT RIM MAG,00
2843,.244 H&H MAG,00
2840,.244 HALGER MAG,00
2841,.244 HALGER RIMMED,00
2844,.244 MASHBURN,00
2838,.244 REM,00
2839,.244 REM IMP (ACKLEY),00
2845,.244 REM IMP(MASHBURN),00
16,.246 PURDEY,00
403,.25 ACP (6.35MM BROW),00
503,.25 ACP (6.35MM BROW),00
3628,.25 CREEDMOOR,00
2574,.25 PINFIRE,00
3489,.25 SHERMAN SHORT TAC(.25SST),00
2286,.25 WSSM,00
3517,.25 XC,00
2568,.25-06 ACKLEY IMP,00
277,.25-06 REM,00
2803,.25-20 MARLIN,00
2804,.25-20 SINGLE SHOT,00
2802,.25-20 WIN (WCF),00
3438,.25-20 WIN (WCF) / 20GA,00
3389,.25-20 WIN (WCF) / 28GA,00
3007,.25-25 STEVENS,00
3008,.25-25 STEVENS / 12GA,00
367,.25-25 STEVENS / 20GA,00
2801,.25-303 EPPS,00
2065,.25-35 WIN (WCF),00
340,.25-35 WIN (WCF) / 12GA,00
760,.25-35 WIN (WCF) / 28GA,00
617,.25-35 WIN / 16GA,00
2175,.25/270 ICL RAM,00
2800,.25/303 BRITISH,00
1988,.250 SAVAGE (250-3000),00
3614,.250 SAVAGE (250-3000),00
1515,.250/3000 ACKLEY IMP,00
2847,.255 BANSHEE,00
2849,.255 GS,00
2848,.255 JEFFERY ROOK,00
2853,.256 FRASER FLANGED,00
2854,.256 FRASER RIMLESS,00
2855,.256 GIBBS MAG,00
2793,.256 MANNLICHER,00
2852,.256 MANNLICHER,00
2792,.256 NEWTON,00
2798,.256 NEWTON,00
2850,.256 NEWTON,00
2856,.256 SWIFT FLANGED,00
2857,.256 SWIFT RIMLESS,00
2851,.256 WIN MAG,00
2791,.256 WIN MAG,00
2797,.256 WIN MAG,00
2858,.257 ACKELY IMP,00
2860,.257 ARCH,00
2866,.257 BAKER MAG,00
2867,.257 BENNET MAG,00
2868,.257 BIG HORN,00
2869,.257 CONDOR,00
2870,.257 CRITSER MAG,00
2871,.257 DURHAM JET,00
2859,.257 JDJ,00
2861,.257 KIMBER,00
3088,.257 KOEVOET,00
2864,.257 MINI DREADNAUGHT,00
2863,.257 RAPTOR,00
2057,.257 ROBERTS,00
2437,.257 ROBERTS,00
2865,.257 SHARPS,00
2862,.257 STW,00
2210,.257 WBY MAG,00
3632,.257-300 PRC,00
2805,.26 BSA,00
2807,.26 EPPS,00
2806,.26 NOSLER,00
2537,.260 ACKLEY IMP (AI),00
2543,.260 LAZER,00
1877,.260 REM,00
1861,.260 REM,00
2945,.263 EXP,00
791,.263 EXP / 12GA,00
2874,.264 CONNELL SHORT MAG,00
2875,.264 DURHAM MAG,00
2873,.264 HAWK,00
2876,.264 HOLLIS,00
2872,.264 LBC-AR,00
2878,.264 PMS,00
2879,.264 SALISBURY,00
2877,.264 WILLIAMS,00
2338,.264 WIN MAG,00
156,.265 MANNLICHER,00
2799,.267 REM,00
3631,.27 RIMFIRE,00
2366,.270 IHMSA,00
2363,.270 JDJ,00
2555,.270 MAX,00
3060,.270 REDDING,00
2364,.270 REN,00
3416,.270 SABI,00
2362,.270 SAVAGE,00
2455,.270 TOMBI,00
2017,.270 WBY MAG,00
2971,.270 WIN,00
1786,.270 WIN,00
2365,.270 WIN,00
3529,.270 WIN / 12GA,00
2368,.270 WIN / 7X65R,00
2039,.270 WIN SHORT MAG,00
285,.270/.308,00
2885,.275 BLAND MAX,00
2881,.275 FLANGED MAG,00
