Code,Description
4221,A CHAPU
4274,A FAGNUS
4161,A STEINBACH
690,"A-SQUARE COMPANY, LLC"
1865,A. BALDWIN & CO
3893,A. CHUCHU PATENT
497,A. FIELD & CO
4156,A. HOESCH
3824,A.D JANSEN
1614,A.G. KNOX
461,A.H. FOX
4369,A.HOWELL & CO
3457,A.J. RUDD
2661,A.N. WHITE
2763,A.R.7 EXPLORER
69,AAARMS
2194,ABBIATICO&SALVINELLI
1257,ABERCROMBIE & FITCH
4340,AC-UNITY
4209,ACCIAIO BREDA
1615,ACCLES & SHELVOKE
668,ACCU-TEK FIREARMS
2617,ACCURACY INTERNAT LTD
3034,ACERO FINO
1214,ACHA
2217,ACIER COCKERILL
504,ACIER COMPRIME
1259,ACKLEY
2641,ACO FINO
2520,ACVOKE
1215,ADAMS
4023,ADAMS & BENNETT
55,ADC (ARMI DALLERA CUST)
1261,ADKIN AND SONS
2772,ADLER
1262,ADOLF LOESCHE
1461,ADP
4081,ADVANCED ARMAMENT CORP
1123,ADVANCED ARMAMENT CORP.
774,ADVANTAGE ARMS INC
4225,AERO PRECISION
1264,AGNEW & SON
4324,AHSS FXS-9
1032,AIR ARMS
2826,AIR RANGER
4177,AIRBORNE ARMS
4424,AIRMAKS ARMS
1195,AIRROW
3595,AJ DEFOURNY
3732,AJ JEWSON
466,AJ ORDNANCE
1249,AKAH
3905,AKDAL
4364,AKDAS
4529,AKER DEFENCE
3558,AKKAR
3318,AKM
1266,AKMS
2523,AKRILL E
1267,AKS
4133,AKSA
3383,AL BIESEN
419,ALAMO
4394,ALARD SON & CO
1251,ALBION
2351,ALBRECHT
3497,ALCOCK & PIERCE
629,ALDENS
2303,ALEX MARTIN
4448,ALEX R HENRY & CO
1750,ALEXANDER HENRY
394,ALFA
4422,ALFRED FIELD & CO
310,ALKAR
495,ALLAN GLASGOW
2691,ALLEN AND THURBER
281,ALLIES
2429,ALLPORT
610,ALPHA ARMS INC
1126,ALPINE
4362,ALTOBELLI ARMS COMPANY
4214,ALWIN BARTHELMES
2537,AMBERG
3308,AMD
188,AMERIC FIREARMS MAN CO
60,AMERICAN ARMS CO.
775,AMERICAN DERRINGER COR
3179,AMERICAN GUN CO
4481,AMERICAN TACTICAL
2626,AMT BABY AUTOMAG
26,AMT(ARCADIA MACH&TOOL)
2880,ANCIENS
1933,ANDERSON
4432,ANDRO CORP INDUSTRIES
2224,ANGELO ZOLI
4264,ANGSTADT ARMS
229,ANSCHUTZ
508,ANSON & DEELEY
3934,ANTONIO ZOLI
4073,ANZIO
2148,AP WALSHE
1526,APACHE
2101,APEX
1260,ARAMBERRI ARMY PERCUS
2257,ARCHER
4295,ARCHON FIREARMS
3885,ARCUS
1398,ARDESA
4140,AREX
1740,ARIANE
1252,ARISAKA
2939,ARIZAGA
1253,ARIZMENDI
1485,ARKROM
